CustomerID,Recency,Frequency,Monetary,Cluster,Segment,churn_probability,churn_predicted,avg_order_value,CLV_basic,CLV_adjusted,Retention_ROI,Worth_Retaining,CLV_tier
12366,633,1,500.24,0,Dormant / At-Risk,0.9997451,1,500.24,750.36,0.19126676399996012,702.6507332360001,True,Bronze
12367,4,1,168.9,0,Dormant / At-Risk,0.99464923,1,168.9,253.35000000000002,1.3556175794999872,229.32688242050003,True,Silver
12368,628,1,917.7,0,Dormant / At-Risk,0.99962676,1,917.7,1376.5500000000002,0.5137835220000723,1297.208716478,True,Bronze
12369,413,3,1791.15,0,Dormant / At-Risk,0.9960588,1,597.0500000000001,2686.7250000000004,10.588920569999942,2531.79982943,True,Silver
12370,51,7,4316.56,1,Champions,0.00012007806,0,616.6514285714286,6474.84,6474.06251377399,-332.9645137739899,False,Gold
12371,44,5,4067.38,1,Champions,0.00032785206,0,813.476,6101.07,6099.069751632295,-313.05325163229554,False,Gold
12372,71,3,1298.04,0,Dormant / At-Risk,0.95125264,1,432.68,1947.06,94.91403476160004,1744.7929652383998,True,Silver
12373,311,3,1127.65,0,Dormant / At-Risk,0.99870265,1,375.8833333333334,1691.4750000000001,2.1944350912499577,1594.7068149087502,True,Silver
12374,25,4,2989.2200000000003,1,Champions,0.0019290624,0,747.3050000000001,4483.83,4475.180412139008,-225.54191213900776,False,Gold
12375,10,2,457.5,0,Dormant / At-Risk,0.91839814,1,228.75,686.25,55.99927642500002,585.9382235749999,True,Silver
12376,389,2,503.15,0,Dormant / At-Risk,0.9997327,1,251.575,754.7249999999999,0.2017379924999776,706.7870120074999,True,Bronze
12377,315,4,3426.32,0,Dormant / At-Risk,0.5727727,1,856.58,5139.4800000000005,2195.726163804,2676.7798361960004,True,Silver
12378,129,2,5416.32,0,Dormant / At-Risk,0.8187421,1,2708.16,8124.48,1472.6261833919998,6235.629816608,True,Silver
12379,81,4,1620.22,1,Champions,0.42290184,0,405.055,2430.33,1402.5389711928,896.2745288071997,True,Silver
12380,21,11,9676.3,1,Champions,6.650912e-05,0,879.6636363636363,14514.449999999999,14513.484656703216,-734.7571567032173,False,Platinum
12381,4,5,1845.31,1,Champions,0.0008534843,0,369.062,2767.965,2765.6025853295505,-146.03583532955054,False,Gold
12383,184,5,1850.56,0,Dormant / At-Risk,0.62432206,1,370.11199999999997,2775.84,1042.8218529696,1584.2261470304002,True,Silver
12384,28,2,585.27,0,Dormant / At-Risk,0.9963989,1,292.635,877.905,3.161423695500021,820.8483263044999,True,Silver
12385,379,1,1938.4,0,Dormant / At-Risk,0.9990088,1,1938.4,2907.6000000000004,2.882013119999913,2749.3379868800002,True,Silver
12386,337,2,401.9,0,Dormant / At-Risk,0.9997447,1,200.95,602.8499999999999,0.15390760499997486,562.5535923949999,True,Bronze
12387,415,1,143.94,0,Dormant / At-Risk,0.99994564,1,143.94,215.91,0.011736867600006704,195.10276313239999,True,Bronze
12388,15,8,3901.11,1,Champions,8.2411614e-05,0,487.63875,5851.665,5851.182754842763,-302.10100484276336,False,Gold
12389,402,3,1433.33,0,Dormant / At-Risk,0.99762684,1,477.77666666666664,2149.995,5.102282134199968,2027.3929678657998,True,Silver
12390,79,1,549.84,0,Dormant / At-Risk,0.99973196,1,549.84,824.76,0.22106867040002057,773.3009313296,True,Bronze
12391,21,6,2724.84,1,Champions,0.00014691967,0,454.14000000000004,4087.26,4086.659501109596,-213.7625011095961,False,Gold
12392,591,1,234.75000000000003,0,Dormant / At-Risk,0.9999113,1,234.75000000000003,352.12500000000006,0.031233487500018534,324.4875165125,True,Bronze
12393,72,6,2399.45,1,Champions,0.0006078714,0,399.9083333333333,3599.1749999999997,3596.987164453905,-187.77091445390533,False,Gold
12394,63,2,1272.48,0,Dormant / At-Risk,0.9885283,1,636.24,1908.72,21.89626322399995,1781.3877367759999,True,Silver
12395,19,15,4721.17,1,Champions,6.5015825e-05,0,314.74466666666666,7081.755,7081.2945738562275,-363.62732385622803,False,Gold
12396,674,1,931.43,0,Dormant / At-Risk,0.99962485,1,931.43,1397.145,0.5241389467499871,1316.7636110532499,True,Bronze
12397,35,2,2409.9,1,Champions,0.736326,1,1204.95,3614.8500000000004,953.1419589,2470.9655411000003,True,Silver
12398,45,1,1635.66,0,Dormant / At-Risk,0.9407701,1,1635.66,2453.4900000000002,145.3199673509999,2175.4955326490003,True,Silver
12399,119,7,1962.3,1,Champions,0.0071648606,0,280.3285714285714,2943.45,2922.36059106693,-136.08309106693014,False,Gold
12400,414,1,205.25,0,Dormant / At-Risk,0.99994564,1,205.25,307.875,0.01673608500000956,282.464513915,True,Bronze
12401,303,1,84.3,0,Dormant / At-Risk,0.99994576,1,84.3,126.44999999999999,0.006858647999997873,110.12064135199999,True,Bronze
12402,323,6,1256.9,0,Dormant / At-Risk,0.9867855,1,209.48333333333335,1885.3500000000001,24.913957575000037,1756.168542425,True,Silver
12403,49,2,1019.36,0,Dormant / At-Risk,0.9899657,1,509.68,1529.04,15.342846072000079,1427.2451539279998,True,Silver
12404,682,1,63.24,0,Dormant / At-Risk,0.9999045,1,63.24,94.86,0.009059130000002477,80.10794087,True,Bronze
12405,148,1,1710.39,0,Dormant / At-Risk,0.99247724,1,1710.39,2565.585,19.3002802145999,2408.0054697854002,True,Silver
12406,22,5,6390.36,1,Champions,9.362377e-05,0,1278.072,9585.539999999999,9584.642565607714,-488.37956560771454,False,Platinum
12407,49,5,1708.12,1,Champions,0.00709133,0,341.62399999999997,2562.18,2544.0107361006,-119.93973610059993,False,Gold
12408,32,8,4340.77,1,Champions,9.8437034e-05,0,542.59625,6511.155000000001,6510.514061213886,-334.916811213885,False,Gold
12409,78,7,23419.29,1,Champions,0.00015879315,0,3345.612857142857,35128.935,35123.356765755205,-1760.86851575521,False,Platinum
12410,308,3,1013.71,0,Dormant / At-Risk,0.9991468,1,337.90333333333336,1520.565,1.2973460579999976,1433.239403942,True,Silver
12411,409,1,346.9,0,Dormant / At-Risk,0.99985886,1,346.9,520.3499999999999,0.07344219899999169,484.25905780099987,True,Bronze
12412,74,6,2596.93,1,Champions,0.0003717524,0,432.82166666666666,3895.3949999999995,3893.9468775598016,-203.32162755980198,False,Gold
12413,66,4,999.45,0,Dormant / At-Risk,0.81031275,1,249.8625,1499.1750000000002,284.37438301875,1129.8418669812502,True,Silver
12414,217,6,952.41,0,Dormant / At-Risk,0.9806362,1,158.73499999999999,1428.615,27.66341513700006,1319.520834863,True,Silver
12415,24,28,144458.37,1,Champions,6.918343e-05,0,5159.2275,216687.555,216672.5638117068,-10829.386561706808,False,Platinum
12416,656,1,202.56,0,Dormant / At-Risk,0.9999045,1,202.56,303.84000000000003,0.02901672000000794,278.61898328,True,Bronze
12417,3,20,6797.41,1,Champions,6.234962e-05,0,339.8705,10196.115,10195.479276104274,-519.1700261042733,False,Platinum
12418,112,4,2021.2,1,Champions,0.42303908,0,505.3,3031.8,1749.230117256,1120.979882744,True,Silver
12419,385,2,503.01,0,Dormant / At-Risk,0.9997327,1,251.505,754.515,0.2016818594999776,706.5875681404999,True,Bronze
12420,63,1,600.39,0,Dormant / At-Risk,0.9996259,1,600.39,900.585,0.3369088485000395,845.2188411515,True,Bronze
12421,15,6,1098.6,1,Champions,0.0029839012,0,183.1,1647.8999999999999,1642.9828292125198,-87.47782921251996,False,Silver
12422,95,17,5231.8,1,Champions,0.00023464714,0,307.7529411764706,7847.700000000001,7845.858559639423,-400.5435596394227,False,Gold
12423,0,10,2622.39,1,Champions,8.489455e-05,0,262.239,3933.585,3933.251060071538,-206.34531007153828,False,Gold
12424,162,4,3340.03,1,Champions,0.19474131,0,835.0075,5010.045,4034.3822735410504,715.1604764589492,True,Gold
12425,78,2,1741.41,0,Dormant / At-Risk,0.9579242,1,870.705,2612.1150000000002,109.906828317,2361.602421683,True,Silver
12426,194,2,1345.21,0,Dormant / At-Risk,0.9986506,1,672.605,2017.815,2.722839560999889,1904.201410439,True,Silver
12427,21,3,825.8000000000001,1,Champions,0.2965044,0,275.2666666666667,1238.7,871.4199997200001,295.34500028,True,Silver
12428,25,9,7956.46,1,Champions,7.7381366e-05,0,884.0511111111111,11934.69,11933.766477385014,-605.8109773850138,False,Platinum
12429,9,8,6204.41,1,Champions,6.262486e-05,0,775.55125,9306.615,9306.032174538552,-474.747924538553,False,Platinum
12430,43,1,256.4,0,Dormant / At-Risk,0.99971074,1,256.4,384.59999999999997,0.11124939599998379,355.25875060399994,True,Bronze
12431,35,27,10432.22,1,Champions,9.8291646e-05,0,386.3785185185185,15648.329999999998,15646.791899887148,-790.8783998871513,False,Platinum
12432,42,5,5059.32,1,Champions,0.0003007663,0,1011.8639999999999,7588.98,7586.697490564626,-387.16649056462666,False,Gold
12433,0,10,16794.14,1,Champions,6.234962e-05,0,1679.414,25191.21,25189.63933762916,-1267.9898376291603,False,Platinum
12434,84,3,1103.43,0,Dormant / At-Risk,0.9953318,1,367.81,1655.145,7.7265478890000185,1554.6612021109997,True,Silver
12435,79,6,13925.93,1,Champions,0.00023721921,0,2320.9883333333332,20888.895,20883.939752830327,-1049.489502830329,False,Platinum
12436,99,1,509.01,0,Dormant / At-Risk,0.9997764,1,509.01,763.515,0.1707219539999927,715.168528046,True,Bronze
12437,1,39,12683.4,1,Champions,6.234962e-05,0,325.2153846153846,19025.1,19023.913792244537,-960.0687922445395,False,Platinum
12438,14,2,2906.85,1,Champions,0.26208705,0,1453.425,4360.275,3217.50338806125,914.7578619387496,True,Gold
12439,682,2,1142.88,0,Dormant / At-Risk,0.9991854,1,571.44,1714.3200000000002,1.396485071999998,1617.2075149280001,True,Silver
12440,462,2,859.2,0,Dormant / At-Risk,0.99957174,1,429.6,1288.8000000000002,0.5519414879999461,1213.8080585120001,True,Bronze
12441,366,1,173.55,0,Dormant / At-Risk,0.9999467,1,173.55,260.32500000000005,0.013875322500008822,237.29487467750002,True,Bronze
12442,3,1,172.06,0,Dormant / At-Risk,0.99378175,1,172.06,258.09000000000003,1.6048681424999953,233.58063185750004,True,Silver
12443,732,1,485.31,0,Dormant / At-Risk,0.99972755,1,485.31,727.965,0.1983340642499852,681.36841593575,True,Bronze
12444,21,5,5005.46,1,Champions,0.00010667364,0,1001.092,7508.1900000000005,7507.389074042889,-384.6085740428889,False,Gold
12445,22,2,434.98,0,Dormant / At-Risk,0.9915342,1,217.49,652.47,5.523680525999979,604.322819474,True,Silver
12446,57,1,1002.31,0,Dormant / At-Risk,0.9965243,1,1002.31,1503.465,5.2255933004999555,1413.0661566995,True,Silver
12447,243,1,476.49,0,Dormant / At-Risk,0.9998499,1,476.49,714.735,0.10728172350002993,668.8909682765,True,Bronze
12448,44,1,449.45,0,Dormant / At-Risk,0.9995597,1,449.45,674.175,0.2968392524999656,630.1694107475,True,Bronze
12449,22,6,4835.89,1,Champions,7.76049e-05,0,805.9816666666667,7253.835000000001,7253.27206686021,-372.12881686020864,False,Gold
12450,156,5,688.2,0,Dormant / At-Risk,0.9819749,1,137.64000000000001,1032.3000000000002,18.60731073000002,952.0776892700002,True,Silver
12451,10,8,12669.88,1,Champions,6.514771e-05,0,1583.735,19004.82,19003.581879498037,-959.002879498039,False,Platinum
12452,16,2,430.5700000000001,0,Dormant / At-Risk,0.97925365,1,215.28500000000005,645.8550000000001,13.39913387925002,590.16311612075,True,Silver
12453,134,1,707.09,0,Dormant / At-Risk,0.9997805,1,707.09,1060.635,0.2328093825000415,997.3704406174999,True,Bronze
12454,56,5,16679.78,1,Champions,0.00034700258,0,3335.9559999999997,25019.67,25010.98810995925,-1252.3016099592533,False,Platinum
12455,73,10,5879.95,1,Champions,0.0001486164,0,587.995,8819.925,8818.61421449823,-449.68546449823043,False,Platinum
12456,44,3,3181.04,1,Champions,0.09718269,0,1060.3466666666666,4771.5599999999995,4307.8469637036,215.13503629639945,True,Gold
12457,66,8,2995.91,1,Champions,0.00021180617,0,374.48875,4493.865,4492.913171665852,-233.7414216658526,False,Gold
12458,71,4,1777.49,1,Champions,0.2575189,0,444.3725,2666.235,1979.6290956585,543.2941543414997,True,Silver
12459,605,1,454.36,0,Dormant / At-Risk,0.9997751,1,454.36,681.54,0.15327834599998114,637.309721654,True,Bronze
12460,456,1,326.65,0,Dormant / At-Risk,0.99984515,1,326.65,489.97499999999997,0.07587262875001943,455.40037737124993,True,Bronze
12461,94,2,826.88,0,Dormant / At-Risk,0.9994542,1,413.44,1240.32,0.6769666560000505,1167.6270333439998,True,Bronze
12462,18,2,1189.59,0,Dormant / At-Risk,0.7302125,1,594.795,1784.3849999999998,481.4047681874999,1203.7609818124997,True,Silver
12463,53,4,1344.78,1,Champions,0.12376688,0,336.195,2017.17,1767.5111626704,138.8003373296001,True,Silver
12464,10,8,1212.05,1,Champions,0.000760816,0,151.50625,1818.0749999999998,1816.6917794508,-99.52052945080027,False,Silver
12465,17,2,742.19,0,Dormant / At-Risk,0.952675,1,371.095,1113.285,52.686212624999946,994.9345373750001,True,Silver
12466,682,1,56.73,0,Dormant / At-Risk,0.9999045,1,56.73,85.095,0.008126572500002222,70.8321234275,True,Bronze
12467,423,1,132.8,0,Dormant / At-Risk,0.9999441,1,132.8,199.20000000000002,0.011135279999999527,179.22886472000002,True,Bronze
12468,187,5,3670.74,1,Champions,0.039016366,0,734.1479999999999,5506.11,5291.28159700374,-70.47709700374071,False,Gold
12469,522,2,3070.54,0,Dormant / At-Risk,0.99174505,1,1535.27,4605.8099999999995,38.02073125949992,4327.498768740499,True,Silver
12470,689,1,211.95,0,Dormant / At-Risk,0.9999045,1,211.95,317.92499999999995,0.0303618375000083,291.99838816249996,True,Bronze
12471,2,79,39918.19,1,Champions,6.234962e-05,0,505.2935443037975,59877.285,59873.551674033624,-3000.130924033627,False,Platinum
12472,32,19,16249.29,1,Champions,9.754968e-05,0,855.2257894736842,24373.935,24371.55733044041,-1226.3190804404112,False,Platinum
12473,29,5,3928.05,1,Champions,0.00021040744,0,785.61,5892.075000000001,5890.835263582962,-303.3640135829619,False,Gold
12474,17,31,12372.75,1,Champions,6.455132e-05,0,399.1209677419355,18559.125,18557.926983983205,-936.7582339832043,False,Platinum
12475,53,2,1149.64,0,Dormant / At-Risk,0.9868759,1,574.82,1724.46,22.63198548599995,1605.605014514,True,Silver
12476,15,23,14083.91,1,Champions,6.507097e-05,0,612.3439130434782,21125.864999999998,21124.49031947236,-1064.9185694723637,False,Platinum
12477,22,9,20276.37,1,Champions,6.650912e-05,0,2252.93,30414.555,30412.53215471176,-1528.7049047117616,False,Platinum
12478,3,1,680.99,0,Dormant / At-Risk,0.73499924,1,680.99,1021.485,270.6943013286,689.7164486714,True,Silver
12479,11,1,527.2,0,Dormant / At-Risk,0.9864898,1,527.2,790.8000000000001,10.683866160000022,730.57613384,True,Silver
12480,28,7,5464.85,1,Champions,8.977739e-05,0,780.6928571428572,8197.275000000001,8196.539070045388,-419.1278200453871,False,Platinum
12481,22,15,12185.51,1,Champions,6.650912e-05,0,812.3673333333334,18278.265,18277.049328679725,-922.6975786797266,False,Platinum
12482,576,29,23691.4,1,Champions,0.0051588668,0,816.944827586207,35537.100000000006,35353.76883464173,-1603.5238346417245,False,Platinum
12483,17,19,5097.18,1,Champions,6.485229e-05,0,268.27263157894737,7645.77,7645.274154306688,-391.79265430668784,False,Gold
12484,32,12,6354.1,1,Champions,9.754968e-05,0,529.5083333333333,9531.150000000001,9530.220239367469,-485.62773936746817,False,Platinum
12485,529,1,708.1,0,Dormant / At-Risk,0.99975854,1,708.1,1062.15,0.2564667390000283,998.786033261,True,Bronze
12486,431,1,1037.28,0,Dormant / At-Risk,0.99979395,1,1037.28,1555.92,0.32059731599993413,1467.803402684,True,Bronze
12487,730,1,285.3,0,Dormant / At-Risk,0.99977785,1,285.3,427.95000000000005,0.09506909250001372,396.4574309075,True,Bronze
12488,9,3,1298.66,1,Champions,0.008557218,0,432.8866666666667,1947.9900000000002,1931.3206249081802,-90.73012490817996,False,Silver
12489,336,1,334.93,0,Dormant / At-Risk,0.9998573,1,334.93,502.395,0.07169176650002568,467.20355823349996,True,Bronze
12490,5,21,9823.64,1,Champions,6.234962e-05,0,467.79238095238094,14735.46,14734.541249668475,-745.8542496684768,False,Platinum
12491,38,1,460.4,0,Dormant / At-Risk,0.99948055,1,460.4,690.5999999999999,0.358732169999984,645.71126783,True,Bronze
12492,63,3,715.21,0,Dormant / At-Risk,0.9966214,1,238.40333333333334,1072.815,3.6246127590000103,1005.549637241,True,Silver
12493,165,2,433.74,0,Dormant / At-Risk,0.9996722,1,216.87,650.61,0.213269957999993,607.866230042,True,Bronze
12494,15,9,1815.27,1,Champions,0.00017898307,0,201.69666666666666,2722.9049999999997,2722.4176461037814,-145.6578961037817,False,Gold
12495,640,1,357.4,0,Dormant / At-Risk,0.99978703,1,357.4,536.0999999999999,0.11417321699998872,499.18082678299993,True,Bronze
12496,620,2,45.34,0,Dormant / At-Risk,0.9998908,1,22.67,68.01,0.007426692000002143,54.602073308,True,Bronze
12497,81,3,6248.5,1,Champions,0.16483039,0,2082.8333333333335,9372.75,7827.8359621275,1066.276537872499,True,Gold
12498,21,3,403.7000000000001,0,Dormant / At-Risk,0.9238373,1,134.5666666666667,605.5500000000002,46.12032298500003,519.1521770150001,True,Silver
12499,560,1,393.72,0,Dormant / At-Risk,0.9997638,1,393.72,590.58,0.13949499600001167,550.911505004,True,Bronze
12500,23,19,5955.21,1,Champions,6.950599e-05,0,313.4321052631579,8932.815,8932.19411584994,-456.0198658499394,False,Platinum
12501,336,1,2169.39,0,Dormant / At-Risk,0.99625945,1,2169.39,3254.085,12.172067646749849,3069.20868235325,True,Silver
12502,95,5,3723.87,1,Champions,0.004354277,0,744.774,5585.805,5561.482857762016,-264.9681077620153,False,Gold
12503,584,1,1126.0,0,Dormant / At-Risk,0.9995734,1,1126.0,1689.0,0.7205274000000924,1593.8294726,True,Bronze
12504,18,4,779.05,1,Champions,0.031267185,0,194.7625,1168.5749999999998,1132.0369492886248,-31.890699288625,False,Silver
12505,408,1,955.2,0,Dormant / At-Risk,0.9997985,1,955.2,1432.8000000000002,0.28870919999995076,1350.8712908000002,True,Bronze
12506,232,1,73.5,0,Dormant / At-Risk,0.99994314,1,73.5,110.25,0.006268815000005229,94.731231185,True,Bronze
12507,134,4,1844.06,0,Dormant / At-Risk,0.77857643,1,461.015,2766.09,612.4775227413,2005.3079772586998,True,Silver
12508,26,2,397.88,0,Dormant / At-Risk,0.9961999,1,198.94,596.8199999999999,2.2679756819999835,554.711024318,True,Silver
12509,284,1,176.5,0,Dormant / At-Risk,0.99994445,1,176.5,264.75,0.014706862500004053,241.4977931375,True,Bronze
12510,142,9,5178.02,1,Champions,0.0009540907,0,575.3355555555556,7767.030000000001,7759.61954891038,-390.94104891038023,False,Gold
12511,428,1,3084.02,0,Dormant / At-Risk,0.9962649,1,3084.02,4626.03,17.27868465299996,4367.4498153469995,True,Silver
12512,66,2,132.18,0,Dormant / At-Risk,0.99986494,1,66.09,198.27,0.026778346199992992,178.32972165380002,True,Bronze
12513,112,1,612.29,0,Dormant / At-Risk,0.99979013,1,612.29,918.435,0.19275195344994983,862.3204980465499,True,Bronze
12514,267,2,1597.76,0,Dormant / At-Risk,0.9987703,1,798.88,2396.64,2.947148208,2263.860851792,True,Silver
12515,353,1,383.7,0,Dormant / At-Risk,0.9998692,1,383.7,575.55,0.07528193999999222,536.69721806,True,Bronze
12516,77,4,2648.62,1,Champions,0.05364379,0,662.155,3972.93,3759.8069773953,4.476522604699767,True,Gold
12517,28,5,2481.6,1,Champions,0.0003869215,0,496.32,3722.3999999999996,3720.9597234084,-194.6797234084006,False,Gold
12518,0,5,2056.89,1,Champions,0.00064074306,0,411.378,3085.335,3083.358093010975,-162.28984301097535,False,Gold
12519,63,2,716.54,0,Dormant / At-Risk,0.9989293,1,358.27,1074.81,1.1507990669999784,1009.918700933,True,Silver
12520,79,5,2634.26,1,Champions,0.004489923,0,526.8520000000001,3951.3900000000003,3933.6485631570304,-189.8280631570301,False,Gold
12521,142,1,599.68,0,Dormant / At-Risk,0.99981874,1,599.68,899.52,0.16304699519996482,844.3809530048001,True,Bronze
12522,39,2,192.72,0,Dormant / At-Risk,0.99976474,1,96.36,289.08,0.06800896079998826,264.5579910392,True,Bronze
12523,19,23,4352.35,1,Champions,6.5015825e-05,0,189.2326086956522,6528.525000000001,6528.100542561093,-336.00179256109277,False,Gold
12524,9,17,11126.11,1,Champions,6.234962e-05,0,654.4770588235294,16689.165,16688.124436904134,-843.4176869041348,False,Platinum
12525,498,3,973.73,0,Dormant / At-Risk,0.9991085,1,324.57666666666665,1460.595,1.3021204425000659,1376.2631295574997,True,Silver
12526,0,3,1316.66,1,Champions,0.0041492237,0,438.8866666666667,1974.9900000000002,1966.7953246847371,-100.55482468473701,False,Silver
12527,81,5,735.51,0,Dormant / At-Risk,0.8389661,1,147.102,1103.2649999999999,177.66306568349992,860.4386843164999,True,Silver
12528,9,6,1933.48,1,Champions,0.00043928123,0,322.24666666666667,2900.2200000000003,2898.9459877911295,-153.7369877911292,False,Gold
12529,528,1,316.48,0,Dormant / At-Risk,0.9998518,1,316.48,474.72,0.0703535040000203,440.91364649599996,True,Bronze
12530,59,9,3759.26,1,Champions,0.00015250941,0,417.6955555555556,5638.89,5638.030016213045,-291.0845162130454,False,Gold
12531,14,2,1933.2,1,Champions,0.30875063,0,966.6,2899.8,2004.484923126,740.3250768739999,True,Silver
12532,30,1,349.83000000000004,0,Dormant / At-Risk,0.9995289,1,349.83000000000004,524.7450000000001,0.24720736949997202,488.26054263050014,True,Bronze
12533,627,2,1367.89,0,Dormant / At-Risk,0.9991779,1,683.945,2051.835,1.686813553500098,1937.5564364465,True,Silver
12534,130,1,1089.18,0,Dormant / At-Risk,0.99962246,1,1089.18,1633.77,0.6168135258000156,1541.4646864741999,True,Bronze
12535,91,2,716.35,0,Dormant / At-Risk,0.99945134,1,358.175,1074.525,0.589548886499977,1010.2092011135001,True,Bronze
12536,43,3,12601.830000000002,1,Champions,0.027453696,0,4200.610000000001,18902.745000000003,18383.79478520448,-436.1870352044789,False,Platinum
12537,408,1,732.94,0,Dormant / At-Risk,0.99984074,1,732.94,1099.41,0.17509203659999387,1034.2644079634,True,Bronze
12538,29,2,640.45,0,Dormant / At-Risk,0.99689484,1,320.225,960.6750000000001,2.9830495830000494,899.658200417,True,Silver
12539,22,7,11214.75,1,Champions,6.832415e-05,0,1602.107142857143,16822.125,16820.97564260818,-849.9568926081811,False,Platinum
12540,19,33,22254.49,1,Champions,6.47141e-05,0,674.3784848484848,33381.735,33379.57473106304,-1676.9264810630411,False,Platinum
12541,29,3,981.18,0,Dormant / At-Risk,0.6020706,1,327.06,1471.77,585.660553038,802.5209469619999,True,Silver
12542,484,2,481.88,0,Dormant / At-Risk,0.9997003,1,240.94,722.8199999999999,0.21662915400000998,676.4623708459999,True,Bronze
12543,448,1,980.25,0,Dormant / At-Risk,0.99978584,1,980.25,1470.375,0.314895509999946,1386.54135449,True,Bronze
12544,36,1,372.7,0,Dormant / At-Risk,0.9996306,1,372.7,559.05,0.20651306999997998,520.8909869299999,True,Bronze
12545,75,2,1000.39,0,Dormant / At-Risk,0.9987142,1,500.195,1500.585,1.9294521930000055,1413.626297807,True,Silver
12546,46,2,1161.5,0,Dormant / At-Risk,0.9844519,1,580.75,1742.25,27.08867722499992,1618.048822775,True,Silver
12547,197,3,383.58,0,Dormant / At-Risk,0.9995492,1,127.86,575.37,0.2593767959999847,536.342123204,True,Bronze
12548,166,1,95.2,0,Dormant / At-Risk,0.9999325,1,95.2,142.8,0.009638999999999731,125.650361,True,Bronze
12549,575,6,1575.68,0,Dormant / At-Risk,0.9799146,1,262.61333333333334,2363.52,47.472244608000075,2187.871755392,True,Silver
12550,79,1,964.83,0,Dormant / At-Risk,0.9994351,1,964.83,1447.2450000000001,0.8175487004999701,1364.0652012995,True,Bronze
12551,357,1,168.0,0,Dormant / At-Risk,0.9999467,1,168.0,252.0,0.013431600000008537,229.38656839999996,True,Bronze
12552,38,2,437.82,0,Dormant / At-Risk,0.9987721,1,218.91,656.73,0.8063987669999662,613.087101233,True,Bronze
12553,8,12,4608.75,1,Champions,6.264033e-05,0,384.0625,6913.125,6912.691959568669,-355.2232095686686,False,Gold
12554,448,1,468.5,0,Dormant / At-Risk,0.9998534,1,468.5,702.75,0.1030231499999977,657.5094768499999,True,Bronze
12555,682,1,129.23,0,Dormant / At-Risk,0.9999045,1,129.23,193.84499999999997,0.01851219750000506,174.13423780249997,True,Bronze
12556,50,2,599.56,0,Dormant / At-Risk,0.99913055,1,299.78,899.3399999999999,0.7819311630000443,843.5910688369999,True,Bronze
12557,16,8,18096.14,1,Champions,6.483622e-05,0,2262.0175,27144.21,27142.450072028714,-1365.4505720287161,False,Platinum
12558,7,1,269.96,0,Dormant / At-Risk,0.9908063,1,269.96,404.93999999999994,3.722896877999988,370.97010312199995,True,Silver
