CustomerID,Recency,Frequency,Monetary,Cluster,Segment,churn_probability,churn_predicted
12398,45,1,1635.66,0,Dormant / At-Risk,0.9407701,1
12399,119,7,1962.3,1,Champions,0.0071648606,0
12400,414,1,205.25,0,Dormant / At-Risk,0.99994564,1
12401,303,1,84.3,0,Dormant / At-Risk,0.99994576,1
12402,323,6,1256.9,0,Dormant / At-Risk,0.9867855,1
12403,49,2,1019.36,0,Dormant / At-Risk,0.9899657,1
12404,682,1,63.24,0,Dormant / At-Risk,0.9999045,1
12405,148,1,1710.39,0,Dormant / At-Risk,0.99247724,1
12406,22,5,6390.36,1,Champions,9.362377e-05,0
12407,49,5,1708.12,1,Champions,0.00709133,0
12408,32,8,4340.77,1,Champions,9.8437034e-05,0
12409,78,7,23419.29,1,Champions,0.00015879315,0
12410,308,3,1013.71,0,Dormant / At-Risk,0.9991468,1
12411,409,1,346.9,0,Dormant / At-Risk,0.99985886,1
12412,74,6,2596.93,1,Champions,0.0003717524,0
12413,66,4,999.45,0,Dormant / At-Risk,0.81031275,1
12414,217,6,952.41,0,Dormant / At-Risk,0.9806362,1
12415,24,28,144458.37,1,Champions,6.918343e-05,0
12416,656,1,202.56,0,Dormant / At-Risk,0.9999045,1
12417,3,20,6797.41,1,Champions,6.234962e-05,0
12418,112,4,2021.2,1,Champions,0.42303908,0
12419,385,2,503.01,0,Dormant / At-Risk,0.9997327,1
12420,63,1,600.39,0,Dormant / At-Risk,0.9996259,1
12421,15,6,1098.6,1,Champions,0.0029839012,0
12422,95,17,5231.8,1,Champions,0.00023464714,0
12423,0,10,2622.39,1,Champions,8.489455e-05,0
12424,162,4,3340.03,1,Champions,0.19474131,0
12425,78,2,1741.41,0,Dormant / At-Risk,0.9579242,1
12426,194,2,1345.21,0,Dormant / At-Risk,0.9986506,1
12427,21,3,825.8000000000001,1,Champions,0.2965044,0
12428,25,9,7956.46,1,Champions,7.7381366e-05,0
12429,9,8,6204.41,1,Champions,6.262486e-05,0
12430,43,1,256.4,0,Dormant / At-Risk,0.99971074,1
12431,35,27,10432.22,1,Champions,9.8291646e-05,0
12432,42,5,5059.32,1,Champions,0.0003007663,0
12433,0,10,16794.14,1,Champions,6.234962e-05,0
12434,84,3,1103.43,0,Dormant / At-Risk,0.9953318,1
12435,79,6,13925.93,1,Champions,0.00023721921,0
12436,99,1,509.01,0,Dormant / At-Risk,0.9997764,1
12437,1,39,12683.4,1,Champions,6.234962e-05,0
12438,14,2,2906.85,1,Champions,0.26208705,0
12439,682,2,1142.88,0,Dormant / At-Risk,0.9991854,1
12440,462,2,859.2,0,Dormant / At-Risk,0.99957174,1
12441,366,1,173.55,0,Dormant / At-Risk,0.9999467,1
12442,3,1,172.06,0,Dormant / At-Risk,0.99378175,1
12443,732,1,485.31,0,Dormant / At-Risk,0.99972755,1
12444,21,5,5005.46,1,Champions,0.00010667364,0
12445,22,2,434.98,0,Dormant / At-Risk,0.9915342,1
12446,57,1,1002.31,0,Dormant / At-Risk,0.9965243,1
12447,243,1,476.49,0,Dormant / At-Risk,0.9998499,1
12448,44,1,449.45,0,Dormant / At-Risk,0.9995597,1
12449,22,6,4835.89,1,Champions,7.76049e-05,0
12450,156,5,688.2,0,Dormant / At-Risk,0.9819749,1
12451,10,8,12669.88,1,Champions,6.514771e-05,0
12452,16,2,430.5700000000001,0,Dormant / At-Risk,0.97925365,1
12453,134,1,707.09,0,Dormant / At-Risk,0.9997805,1
12454,56,5,16679.78,1,Champions,0.00034700258,0
12455,73,10,5879.95,1,Champions,0.0001486164,0
12456,44,3,3181.04,1,Champions,0.09718269,0
12457,66,8,2995.91,1,Champions,0.00021180617,0
12458,71,4,1777.49,1,Champions,0.2575189,0
12459,605,1,454.36,0,Dormant / At-Risk,0.9997751,1
12460,456,1,326.65,0,Dormant / At-Risk,0.99984515,1
12461,94,2,826.88,0,Dormant / At-Risk,0.9994542,1
12462,18,2,1189.59,0,Dormant / At-Risk,0.7302125,1
12463,53,4,1344.78,1,Champions,0.12376688,0
12464,10,8,1212.05,1,Champions,0.000760816,0
12465,17,2,742.19,0,Dormant / At-Risk,0.952675,1
12466,682,1,56.73,0,Dormant / At-Risk,0.9999045,1
12467,423,1,132.8,0,Dormant / At-Risk,0.9999441,1
12468,187,5,3670.74,1,Champions,0.039016366,0
12469,522,2,3070.54,0,Dormant / At-Risk,0.99174505,1
12470,689,1,211.95,0,Dormant / At-Risk,0.9999045,1
12471,2,79,39918.19,1,Champions,6.234962e-05,0
12472,32,19,16249.29,1,Champions,9.754968e-05,0
12473,29,5,3928.05,1,Champions,0.00021040744,0
12474,17,31,12372.75,1,Champions,6.455132e-05,0
12475,53,2,1149.64,0,Dormant / At-Risk,0.9868759,1
12476,15,23,14083.91,1,Champions,6.507097e-05,0
12477,22,9,20276.37,1,Champions,6.650912e-05,0
12478,3,1,680.99,0,Dormant / At-Risk,0.73499924,1
12479,11,1,527.2,0,Dormant / At-Risk,0.9864898,1
12480,28,7,5464.85,1,Champions,8.977739e-05,0
12481,22,15,12185.51,1,Champions,6.650912e-05,0
12482,576,29,23691.4,1,Champions,0.0051588668,0
12483,17,19,5097.18,1,Champions,6.485229e-05,0
12484,32,12,6354.1,1,Champions,9.754968e-05,0
12485,529,1,708.1,0,Dormant / At-Risk,0.99975854,1
12486,431,1,1037.28,0,Dormant / At-Risk,0.99979395,1
12487,730,1,285.3,0,Dormant / At-Risk,0.99977785,1
12488,9,3,1298.66,1,Champions,0.008557218,0
12489,336,1,334.93,0,Dormant / At-Risk,0.9998573,1
12490,5,21,9823.64,1,Champions,6.234962e-05,0
12491,38,1,460.4,0,Dormant / At-Risk,0.99948055,1
12492,63,3,715.21,0,Dormant / At-Risk,0.9966214,1
12493,165,2,433.74,0,Dormant / At-Risk,0.9996722,1
12494,15,9,1815.27,1,Champions,0.00017898307,0
12495,640,1,357.4,0,Dormant / At-Risk,0.99978703,1
12496,620,2,45.34,0,Dormant / At-Risk,0.9998908,1
12497,81,3,6248.5,1,Champions,0.16483039,0
12498,21,3,403.7000000000001,0,Dormant / At-Risk,0.9238373,1
12499,560,1,393.72,0,Dormant / At-Risk,0.9997638,1
12500,23,19,5955.21,1,Champions,6.950599e-05,0
12501,336,1,2169.39,0,Dormant / At-Risk,0.99625945,1
12502,95,5,3723.87,1,Champions,0.004354277,0
12503,584,1,1126.0,0,Dormant / At-Risk,0.9995734,1
12504,18,4,779.05,1,Champions,0.031267185,0
12505,408,1,955.2,0,Dormant / At-Risk,0.9997985,1
12506,232,1,73.5,0,Dormant / At-Risk,0.99994314,1
12507,134,4,1844.06,0,Dormant / At-Risk,0.77857643,1
12508,26,2,397.88,0,Dormant / At-Risk,0.9961999,1
12509,284,1,176.5,0,Dormant / At-Risk,0.99994445,1
12510,142,9,5178.02,1,Champions,0.0009540907,0
12511,428,1,3084.02,0,Dormant / At-Risk,0.9962649,1
12512,66,2,132.18,0,Dormant / At-Risk,0.99986494,1
12513,112,1,612.29,0,Dormant / At-Risk,0.99979013,1
12514,267,2,1597.76,0,Dormant / At-Risk,0.9987703,1
12515,353,1,383.7,0,Dormant / At-Risk,0.9998692,1
12516,77,4,2648.62,1,Champions,0.05364379,0
12517,28,5,2481.6,1,Champions,0.0003869215,0
12518,0,5,2056.89,1,Champions,0.00064074306,0
12519,63,2,716.54,0,Dormant / At-Risk,0.9989293,1
12520,79,5,2634.26,1,Champions,0.004489923,0
12521,142,1,599.68,0,Dormant / At-Risk,0.99981874,1
12522,39,2,192.72,0,Dormant / At-Risk,0.99976474,1
12523,19,23,4352.35,1,Champions,6.5015825e-05,0
12524,9,17,11126.11,1,Champions,6.234962e-05,0
12525,498,3,973.73,0,Dormant / At-Risk,0.9991085,1
12526,0,3,1316.66,1,Champions,0.0041492237,0
12527,81,5,735.51,0,Dormant / At-Risk,0.8389661,1
12528,9,6,1933.48,1,Champions,0.00043928123,0
12529,528,1,316.48,0,Dormant / At-Risk,0.9998518,1
12530,59,9,3759.26,1,Champions,0.00015250941,0
12531,14,2,1933.2,1,Champions,0.30875063,0
12532,30,1,349.83000000000004,0,Dormant / At-Risk,0.9995289,1
12533,627,2,1367.89,0,Dormant / At-Risk,0.9991779,1
12534,130,1,1089.18,0,Dormant / At-Risk,0.99962246,1
12535,91,2,716.35,0,Dormant / At-Risk,0.99945134,1
12536,43,3,12601.830000000002,1,Champions,0.027453696,0
12537,408,1,732.94,0,Dormant / At-Risk,0.99984074,1
12538,29,2,640.45,0,Dormant / At-Risk,0.99689484,1
12539,22,7,11214.75,1,Champions,6.832415e-05,0
12540,19,33,22254.49,1,Champions,6.47141e-05,0
12541,29,3,981.18,0,Dormant / At-Risk,0.6020706,1
12542,484,2,481.88,0,Dormant / At-Risk,0.9997003,1
12543,448,1,980.25,0,Dormant / At-Risk,0.99978584,1
12544,36,1,372.7,0,Dormant / At-Risk,0.9996306,1
12545,75,2,1000.39,0,Dormant / At-Risk,0.9987142,1
12546,46,2,1161.5,0,Dormant / At-Risk,0.9844519,1
12547,197,3,383.58,0,Dormant / At-Risk,0.9995492,1
12548,166,1,95.2,0,Dormant / At-Risk,0.9999325,1
12549,575,6,1575.68,0,Dormant / At-Risk,0.9799146,1
12550,79,1,964.83,0,Dormant / At-Risk,0.9994351,1
12551,357,1,168.0,0,Dormant / At-Risk,0.9999467,1
12552,38,2,437.82,0,Dormant / At-Risk,0.9987721,1
12553,8,12,4608.75,1,Champions,6.264033e-05,0
12554,448,1,468.5,0,Dormant / At-Risk,0.9998534,1
12555,682,1,129.23,0,Dormant / At-Risk,0.9999045,1
12556,50,2,599.56,0,Dormant / At-Risk,0.99913055,1
12557,16,8,18096.14,1,Champions,6.483622e-05,0
12558,7,1,269.96,0,Dormant / At-Risk,0.9908063,1
12559,310,2,561.71,0,Dormant / At-Risk,0.9997327,1
12560,5,3,2134.01,1,Champions,0.0033588011,0
12561,302,1,238.85,0,Dormant / At-Risk,0.99994576,1
12562,8,9,4966.92,1,Champions,6.264033e-05,0
12563,408,1,249.24,0,Dormant / At-Risk,0.99994564,1
12564,261,1,456.9,0,Dormant / At-Risk,0.999859,1
12565,288,1,145.92000000000002,0,Dormant / At-Risk,0.99994445,1
12566,86,1,351.65,0,Dormant / At-Risk,0.9998068,1
12567,22,15,11767.48,1,Champions,6.650912e-05,0
12568,644,1,70.0,0,Dormant / At-Risk,0.9999045,1
12569,2,32,4124.6900000000005,1,Champions,6.264033e-05,0
12570,682,1,77.52,0,Dormant / At-Risk,0.9999045,1
12571,39,2,519.61,0,Dormant / At-Risk,0.9986505,1
12572,8,2,1020.42,1,Champions,0.0670842,0
12573,227,5,717.41,0,Dormant / At-Risk,0.9928235,1
12574,315,1,218.45,0,Dormant / At-Risk,0.99994576,1
12575,457,2,622.82,0,Dormant / At-Risk,0.9997271,1
12576,35,8,2142.7200000000003,1,Champions,0.0002668099,0
12577,35,8,1617.1,1,Champions,0.00078912877,0
12578,21,4,4642.45,1,Champions,0.0004032474,0
12579,78,1,440.42,0,Dormant / At-Risk,0.9997069,1
12580,246,2,1052.9,0,Dormant / At-Risk,0.9996176,1
12581,39,1,197.71,0,Dormant / At-Risk,0.99985445,1
12582,238,4,1980.4,0,Dormant / At-Risk,0.96777356,1
12583,2,27,13591.58,1,Champions,6.234962e-05,0
12584,3,9,2338.15,1,Champions,9.683918e-05,0
12585,234,2,2040.1,0,Dormant / At-Risk,0.99200296,1
12586,17,4,2062.67,1,Champions,0.002002363,0
12587,7,1,144.0,0,Dormant / At-Risk,0.9973449,1
12588,39,4,958.78,1,Champions,0.28436038,0
12589,28,8,4695.66,1,Champions,8.582992e-05,0
12590,211,2,9864.26,1,Champions,0.7579873,1
12591,317,3,1338.95,0,Dormant / At-Risk,0.99838805,1
12592,92,5,2582.66,1,Champions,0.00917097,0
12593,108,3,418.1,0,Dormant / At-Risk,0.9991736,1
12594,37,15,5090.110000000001,1,Champions,9.8749915e-05,0
12595,504,1,299.02,0,Dormant / At-Risk,0.99984777,1
12596,51,2,618.27,0,Dormant / At-Risk,0.9991049,1
12597,19,4,3811.22,1,Champions,0.0005534896,0
12598,9,11,4534.09,1,Champions,6.264033e-05,0
12599,29,13,2296.72,1,Champions,0.00016486977,0
12600,28,21,4967.42,1,Champions,8.5452695e-05,0
12601,189,6,681.26,0,Dormant / At-Risk,0.96576524,1
12602,58,1,153.12,0,Dormant / At-Risk,0.9998852,1
12603,21,1,739.1999999999999,0,Dormant / At-Risk,0.9920366,1
12604,79,2,254.18,0,Dormant / At-Risk,0.99974483,1
12605,376,4,1232.95,0,Dormant / At-Risk,0.99710566,1
12606,682,1,21.0,0,Dormant / At-Risk,0.9999045,1
12607,60,1,1579.51,0,Dormant / At-Risk,0.98500144,1
12608,404,1,415.79,0,Dormant / At-Risk,0.9998578,1
12609,78,9,3435.86,1,Champions,0.00020266554,0
12610,22,5,2099.54,1,Champions,0.0007126266,0
12611,52,1,1193.32,0,Dormant / At-Risk,0.99324423,1
12612,74,1,704.04,0,Dormant / At-Risk,0.99959284,1
12613,57,10,6817.37,1,Champions,0.000120864395,0
12614,277,1,315.6,0,Dormant / At-Risk,0.99988925,1
12615,2,8,5740.9800000000005,1,Champions,6.291686e-05,0
12616,95,3,1131.1,0,Dormant / At-Risk,0.9954834,1
12617,29,1,352.98,0,Dormant / At-Risk,0.9994904,1
12618,21,1,177.31,0,Dormant / At-Risk,0.99960846,1
12619,16,10,3781.38,1,Champions,8.002189e-05,0
12620,14,3,1339.41,1,Champions,0.027986323,0
12621,1,35,24311.2,1,Champions,6.234962e-05,0
12622,232,1,180.1,0,Dormant / At-Risk,0.99994314,1
12623,276,7,3747.84,1,Champions,0.024076056,0
12624,106,2,641.13,0,Dormant / At-Risk,0.9995492,1
12625,211,4,5164.88,1,Champions,0.13398568,0
12626,23,9,6620.4800000000005,1,Champions,6.918343e-05,0
12627,10,7,4478.53,1,Champions,6.846177e-05,0
12628,4,3,786.46,1,Champions,0.013258333,0
12629,385,2,1558.22,0,Dormant / At-Risk,0.999175,1
12630,9,2,1270.88,1,Champions,0.05799125,0
12631,57,6,3481.57,1,Champions,0.00022130937,0
12632,520,2,804.88,0,Dormant / At-Risk,0.9995815,1
12633,58,7,5678.16,1,Champions,0.0001309922,0
12634,535,2,490.0,0,Dormant / At-Risk,0.999627,1
12635,89,4,2930.41,1,Champions,0.06959361,0
12636,738,1,141.0,0,Dormant / At-Risk,0.99989796,1
12637,67,12,8283.81,1,Champions,0.00014495192,0
12638,33,2,921.49,0,Dormant / At-Risk,0.9760573,1
12639,238,3,1312.37,0,Dormant / At-Risk,0.99755126,1
12640,23,3,1174.58,1,Champions,0.16942045,0
12641,115,1,185.9,0,Dormant / At-Risk,0.9999193,1
12642,25,3,1013.26,1,Champions,0.29906985,0
12643,128,12,8304.82,1,Champions,0.00040561595,0
12644,129,4,1918.49,0,Dormant / At-Risk,0.72052217,1
12645,33,8,3539.3,1,Champions,0.00014371,0
12646,4,2,1346.97,1,Champions,0.031392913,0
12647,22,36,16955.55,1,Champions,6.650912e-05,0
12648,154,4,1112.0,0,Dormant / At-Risk,0.9911084,1
12649,107,8,2294.65,1,Champions,0.0011309701,0
12650,3,1,314.44,0,Dormant / At-Risk,0.9776039,1
12651,334,4,377.75,0,Dormant / At-Risk,0.99942833,1
12652,331,2,1017.03,0,Dormant / At-Risk,0.9996222,1
12653,148,3,4160.83,1,Champions,0.33518314,0
12654,10,5,601.98,1,Champions,0.027827678,0
12655,423,1,261.35,0,Dormant / At-Risk,0.9999008,1
12656,17,8,6407.83,1,Champions,6.483622e-05,0
12657,11,4,1643.18,1,Champions,0.002219979,0
12658,18,1,686.05,0,Dormant / At-Risk,0.99018973,1
12659,29,1,91.68,0,Dormant / At-Risk,0.9997991,1
12660,11,1,245.1,0,Dormant / At-Risk,0.99928916,1
12661,436,1,162.0,0,Dormant / At-Risk,0.9999441,1
12662,0,20,6726.54,1,Champions,6.234962e-05,0
12663,624,2,239.4,0,Dormant / At-Risk,0.9998908,1
12664,8,11,6070.04,1,Champions,6.264033e-05,0
12665,324,3,313.6,0,Dormant / At-Risk,0.99975413,1
12666,394,1,1248.42,0,Dormant / At-Risk,0.99970394,1
12667,58,1,620.13,0,Dormant / At-Risk,0.99959546,1
12668,11,10,11383.03,1,Champions,6.4861444e-05,0
12669,150,3,2744.03,0,Dormant / At-Risk,0.7718324,1
12670,10,7,3760.29,1,Champions,9.3406634e-05,0
12671,606,1,2622.481,0,Dormant / At-Risk,0.9959643,1
12672,329,2,437.05,0,Dormant / At-Risk,0.99974114,1
12673,5,3,1230.02,1,Champions,0.0055803857,0
12674,38,4,1970.6,1,Champions,0.016809532,0
12675,553,2,957.25,0,Dormant / At-Risk,0.9993704,1
12676,24,11,2843.09,1,Champions,9.598793e-05,0
12677,555,2,395.1,0,Dormant / At-Risk,0.99956685,1
12678,42,21,34281.18,1,Champions,0.00010146212,0
12679,58,4,1113.02,0,Dormant / At-Risk,0.59419215,1
12680,0,4,880.81,1,Champions,0.0023128507,0
12681,14,45,29834.76,1,Champions,6.507097e-05,0
12682,3,52,22950.22,1,Champions,6.234962e-05,0
12683,4,21,11633.7,1,Champions,6.234962e-05,0
12684,7,7,2283.63,1,Champions,0.00027556455,0
12685,28,6,2863.08,1,Champions,0.0001866387,0
12686,371,1,89.14,0,Dormant / At-Risk,0.9999467,1
12687,480,2,2138.91,0,Dormant / At-Risk,0.99792576,1
12688,113,1,4873.81,0,Dormant / At-Risk,0.87497485,1
12689,25,2,1247.61,0,Dormant / At-Risk,0.70437217,1
12690,205,1,389.01,0,Dormant / At-Risk,0.99985385,1
12691,28,7,1170.4,1,Champions,0.007201642,0
12692,637,1,110.95,0,Dormant / At-Risk,0.9999045,1
12693,127,7,1703.02,1,Champions,0.03672213,0
12694,70,3,1843.35,0,Dormant / At-Risk,0.79289514,1
12695,7,7,1407.12,1,Champions,0.0007588953,0
12696,434,2,851.91,0,Dormant / At-Risk,0.9996068,1
12697,28,3,957.59,0,Dormant / At-Risk,0.49024594,0
12698,590,1,339.75,0,Dormant / At-Risk,0.99976236,1
12699,417,1,638.11,0,Dormant / At-Risk,0.9998443,1
12700,7,4,4939.99,1,Champions,0.00017283866,0
12701,79,6,2446.41,1,Champions,0.000772867,0
12702,19,1,219.0,0,Dormant / At-Risk,0.9995982,1
12703,71,4,1006.53,0,Dormant / At-Risk,0.8073613,1
12704,7,8,2340.84,1,Champions,0.00013089406,0
12705,15,14,11762.1,1,Champions,6.507097e-05,0
12707,291,1,603.42,0,Dormant / At-Risk,0.99985397,1
12708,29,18,5117.66,1,Champions,9.629459e-05,0
12709,15,34,30291.76,1,Champions,6.507097e-05,0
12710,96,3,1149.02,0,Dormant / At-Risk,0.9954834,1
12711,611,2,1339.05,0,Dormant / At-Risk,0.99909294,1
12712,28,21,6723.03,1,Champions,8.505612e-05,0
12713,0,1,848.55,1,Champions,0.30808276,0
12714,9,12,14093.71,1,Champions,6.234962e-05,0
12715,106,1,343.36,0,Dormant / At-Risk,0.9997831,1
12716,3,2,1053.49,1,Champions,0.04234303,0
12717,151,3,1308.91,0,Dormant / At-Risk,0.9931056,1
12718,71,1,238.25,0,Dormant / At-Risk,0.9998882,1
12719,5,2,644.95,1,Champions,0.11689184,0
12720,2,30,7787.28,1,Champions,6.234962e-05,0
12721,31,8,4013.08,1,Champions,9.553464e-05,0
12722,85,4,997.63,0,Dormant / At-Risk,0.97277313,1
12723,3,5,725.07,1,Champions,0.0054700086,0
12724,5,7,2317.52,1,Champions,0.00025000743,0
12725,371,4,2266.76,0,Dormant / At-Risk,0.9776504,1
12726,28,11,4014.6,1,Champions,8.5452695e-05,0
12727,10,10,5679.53,1,Champions,6.516387e-05,0
12728,71,5,1070.17,1,Champions,0.11918148,0
12729,113,1,453.01,0,Dormant / At-Risk,0.99978787,1
12730,521,1,829.25,0,Dormant / At-Risk,0.9997665,1
12731,23,17,25775.71,1,Champions,6.918343e-05,0
12732,179,1,236.26,0,Dormant / At-Risk,0.9999285,1
12733,234,4,2424.87,0,Dormant / At-Risk,0.8077833,1
12734,352,3,639.65,0,Dormant / At-Risk,0.9995553,1
12735,315,2,779.5699999999999,0,Dormant / At-Risk,0.99969494,1
12736,332,1,234.0,0,Dormant / At-Risk,0.9999467,1
12737,498,2,3710.5,0,Dormant / At-Risk,0.98868227,1
12738,372,1,155.35,0,Dormant / At-Risk,0.9999467,1
12739,78,4,2726.73,1,Champions,0.05495201,0
12740,63,1,427.6,0,Dormant / At-Risk,0.9996834,1
12741,529,2,406.07,0,Dormant / At-Risk,0.9996437,1
12742,625,1,1201.52,0,Dormant / At-Risk,0.9995254,1
12743,134,2,540.13,0,Dormant / At-Risk,0.99966073,1
12744,51,11,25317.06,1,Champions,0.000113763504,0
12745,486,3,925.41,0,Dormant / At-Risk,0.99905413,1
12746,540,1,254.55,0,Dormant / At-Risk,0.99986386,1
12747,2,26,8898.48,1,Champions,6.234962e-05,0
12748,0,336,53539.64,1,Champions,6.234962e-05,0
12749,3,9,6897.36,1,Champions,6.234962e-05,0
12750,128,1,275.88,0,Dormant / At-Risk,0.9998528,1
12751,444,1,268.27,0,Dormant / At-Risk,0.9998976,1
12752,81,1,4366.78,0,Dormant / At-Risk,0.8674595,1
12753,22,6,21429.39,1,Champions,7.553024e-05,0
12754,235,3,3010.74,0,Dormant / At-Risk,0.7663511,1
12755,280,11,5236.26,1,Champions,0.00092490227,0
12756,86,1,112.08,0,Dormant / At-Risk,0.99991345,1
12757,15,13,7834.650000000001,1,Champions,6.507097e-05,0
12758,116,7,9903.24,1,Champions,0.0003346807,0
12759,52,8,5020.74,1,Champions,0.00011479832,0
12760,455,1,347.8,0,Dormant / At-Risk,0.99985003,1
12761,457,2,782.95,0,Dormant / At-Risk,0.9996793,1
12762,7,2,1898.52,1,Champions,0.029012442,0
12763,138,2,494.08,0,Dormant / At-Risk,0.9996536,1
12764,316,1,1693.88,0,Dormant / At-Risk,0.9993782,1
12765,472,6,1404.58,0,Dormant / At-Risk,0.98287845,1
12766,3,9,8918.99,1,Champions,6.234962e-05,0
12767,375,1,949.82,0,Dormant / At-Risk,0.99980265,1
12768,450,1,168.69,0,Dormant / At-Risk,0.9999422,1
12769,238,1,1143.6,0,Dormant / At-Risk,0.99970263,1
12770,210,2,3246.45,0,Dormant / At-Risk,0.88111347,1
12771,485,1,282.3,0,Dormant / At-Risk,0.99986994,1
12772,59,1,892.47,0,Dormant / At-Risk,0.99662894,1
12773,564,1,124.25,0,Dormant / At-Risk,0.99990964,1
12774,535,1,98.7,0,Dormant / At-Risk,0.9999256,1
12775,17,7,1686.12,1,Champions,0.00062178087,0
12776,667,1,55.5,0,Dormant / At-Risk,0.9999045,1
12777,457,1,519.45,0,Dormant / At-Risk,0.9998455,1
12778,19,9,1775.68,1,Champions,0.00018937133,0
12779,37,14,6474.11,1,Champions,9.8291646e-05,0
12780,598,1,337.4,0,Dormant / At-Risk,0.99976236,1
12781,63,2,826.74,0,Dormant / At-Risk,0.99800974,1
12782,4,11,4618.24,1,Champions,6.264033e-05,0
12783,2,6,2225.91,1,Champions,0.0003288049,0
12784,9,3,1763.15,1,Champions,0.005718091,0
12785,364,3,1100.4,0,Dormant / At-Risk,0.9988103,1
12786,609,1,728.5000000000001,0,Dormant / At-Risk,0.9997118,1
12787,9,4,862.1800000000001,1,Champions,0.0028068626,0
12788,463,4,444.9,0,Dormant / At-Risk,0.9992244,1
12789,65,3,273.35,0,Dormant / At-Risk,0.9989242,1
12790,192,2,591.85,0,Dormant / At-Risk,0.9996822,1
12791,373,6,863.51,0,Dormant / At-Risk,0.9927555,1
12792,256,2,827.01,0,Dormant / At-Risk,0.9996872,1
12793,334,3,885.53,0,Dormant / At-Risk,0.99909675,1
12794,53,2,860.41,0,Dormant / At-Risk,0.9934635,1
12795,18,1,430.48,0,Dormant / At-Risk,0.9958544,1
12796,628,1,381.0,0,Dormant / At-Risk,0.99980205,1
12797,365,2,552.08,0,Dormant / At-Risk,0.99972826,1
12798,10,4,8510.93,1,Champions,0.00016987062,0
12799,529,1,219.35,0,Dormant / At-Risk,0.9999256,1
12800,470,3,584.25,0,Dormant / At-Risk,0.9995622,1
12801,500,1,1071.82,0,Dormant / At-Risk,0.9997489,1
12802,186,7,2416.42,1,Champions,0.024929339,0
12803,393,1,1092.81,0,Dormant / At-Risk,0.99977463,1
12804,465,2,325.37,0,Dormant / At-Risk,0.9997205,1
12805,381,4,1434.95,0,Dormant / At-Risk,0.9956773,1
12806,435,4,2878.96,0,Dormant / At-Risk,0.93990386,1
